,Unnamed: 0,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Y,X
3022,3022,Paris84,48.8500224435122,2.3476989334233718,Bistro du Périgord,48.84988629254856,2.3450550890747444,French Restaurant,5488474.157756771,-427332.0061349961
3036,3036,Paris84,48.8500224435122,2.3476989334233718,Comme chai Toi,48.85174869628851,2.349318712949753,French Restaurant,5488627.761335836,-426985.4614131823
3046,3046,Paris84,48.8500224435122,2.3476989334233718,Le Petit Châtelet,48.852637325289535,2.3469194769859314,French Restaurant,5488755.838981128,-427144.20088731695
3077,3077,Paris84,48.8500224435122,2.3476989334233718,Bouillon Racine,48.8502589151723,2.34203005546356,French Restaurant,5488552.826080542,-427546.15876591566
3103,3103,Paris84,48.8500224435122,2.3476989334233718,Au Doux Raisin,48.84593075097376,2.3490637513824293,French Restaurant,5487986.47381619,-427113.0238824085
3106,3106,Paris84,48.8500224435122,2.3476989334233718,Le Départ,48.853497700803366,2.3446771502494808,French Restaurant,5488878.853060951,-427291.9932412087
3117,3117,Paris85,48.851208951101945,2.358338997642237,La Tour d'Argent,48.84979114185949,2.35495001077652,French Restaurant,5488341.36543811,-426610.4548885531
3118,3118,Paris85,48.851208951101945,2.358338997642237,L'Ilot Vache,48.851838408319225,2.356554677852357,French Restaurant,5488548.319660176,-426454.84364523634
3119,3119,Paris85,48.851208951101945,2.358338997642237,L'Auberge des Deux Ponts,48.8514583662155,2.3560765385627747,French Restaurant,5488512.12771158,-426496.9064773022
3126,3126,Paris85,48.851208951101945,2.358338997642237,Le Chanard,48.8529120567913,2.3615448883894716,French Restaurant,5488605.636727331,-426069.98357406957
3130,3130,Paris85,48.851208951101945,2.358338997642237,Aux Anysetiers du Roy,48.85245767544085,2.3548543405366957,French Restaurant,5488637.912157123,-426567.5467438726
3131,3131,Paris85,48.851208951101945,2.358338997642237,Au Moulin à Vent,48.84850415130429,2.354937248605381,French Restaurant,5488198.966170531,-426635.47185084526
3139,3139,Paris85,48.851208951101945,2.358338997642237,Les Fous de l'Île,48.85221305911912,2.3568823558350966,French Restaurant,5488585.772562146,-426423.880628509
3143,3143,Paris85,48.851208951101945,2.358338997642237,Le Flore en l'Île,48.85278733786574,2.3533682073668234,French Restaurant,5488692.782900224,-426670.00930111867
3145,3145,Paris85,48.851208951101945,2.358338997642237,Le Temps des Cerises,48.85255362794661,2.364194654389621,French Restaurant,5488533.2308704965,-425882.9955644127
3146,3146,Paris85,48.851208951101945,2.358338997642237,Chez René,48.84949389576296,2.3544882053054317,French Restaurant,5488314.143687318,-426649.77638469706
3147,3147,Paris85,48.851208951101945,2.358338997642237,Bel Canto,48.85463159369966,2.3544932532811624,French Restaurant,5488883.170646477,-426553.2557963631
3148,3148,Paris85,48.851208951101945,2.358338997642237,La Rôtisserie,48.85014959877561,2.3547955017395226,French Restaurant,5488382.979053774,-426615.04163853556
3159,3159,Paris85,48.851208951101945,2.358338997642237,Le Dindon en Laisse,48.853201203834466,2.36406147480011,French Restaurant,5488606.605071368,-425880.62064795895
3160,3160,Paris85,48.851208951101945,2.358338997642237,Alliance,48.849903439116886,2.3533272743225098,French Restaurant,5488373.846672212,-426726.97784082405
3161,3161,Paris85,48.851208951101945,2.358338997642237,Le Petit Pontoise,48.8498907307273,2.351968263035208,French Restaurant,5488389.226109864,-426826.5613667526
